V;B5 13071;C2 13071;D6 13071;E3 13071
-0,00499113;-29,2653;-29,6315;-29,7322;-29,5125
-0,00299468;-29,1279;-29,4759;-29,5857;-29,3751
-0,000998226;-28,9357;-29,2653;-29,3751;-29,1554
0,000998224;-28,7526;-29,073;-29,1737;-28,9723
0,00299467;-28,5786;-28,8808;-28,9906;-28,7892
0,00499112;-28,3223;-28,6152;-28,7251;-28,5145
0,00698757;-28,2124;-28,4962;-28,5969;-28,3864
0,00898402;-27,9835;-28,2307;-28,3406;-28,1483
0,0109805;-27,7821;-28,011;-28,1209;-27,9286
0,0129769;-27,5807;-27,7913;-27,8828;-27,6905
0,0149734;-27,3426;-27,5257;-27,6173;-27,425
0,0169698;-27,1687;-27,306;-27,3884;-27,2236
0,0189663;-26,9306;-27,0497;-27,1321;-26,9764
0,0209627;-26,6926;-26,7842;-26,8666;-26,7292
0,0229592;-26,4729;-26,537;-26,6102;-26,4912
0,0249556;-26,1616;-26,2074;-26,2623;-26,1341
0,0269521;-25,9327;-25,951;-25,9785;-25,8686
0,0289485;-25,6397;-25,6123;-25,658;-25,5482
0,030945;-25,3834;-25,3559;-25,3742;-25,2918
0,0329414;-25,0813;-25,008;-25,0263;-24,9439
0,0349379;-24,7517;-24,6418;-24,6509;-24,5777
0,0369343;-24,4129;-24,2573;-24,2573;-24,2115
0,0389308;-24,1199;-23,9185;-23,9094;-23,8727
0,0409272;-23,7903;-23,5615;-23,534;-23,5248
0,0429237;-23,4058;-23,1312;-23,0945;-23,0854
0,0449201;-22,9847;-22,6551;-22,6001;-22,6276
0,0469166;-22,6184;-22,2522;-22,1515;-22,1973
0,048913;-22,1881;-21,767;-21,648;-21,7029
0,0509095;-21,8402;-21,3458;-21,2177;-21,2909
0,0529059;-21,3275;-20,7782;-20,6134;-20,7233
0,0549024;-20,8789;-20,2655;-20,0916;-20,2197
0,0568988;-20,3754;-19,6979;-19,4873;-19,6246
0,0588953;-19,7986;-19,0661;-18,8281;-18,9929
0,0608917;-19,35;-18,526;-18,2696;-18,4619
0,0628882;-18,7549;-17,8668;-17,5555;-17,7935
0,0648846;-18,1231;-17,1527;-16,8139;-17,0611
0,0668811;-17,5006;-16,4294;-16,0723;-16,347
0,0688775;-16,759;-15,5962;-15,1751;-15,4864
0,070874;-16,1913;-14,9187;-14,4701;-14,818
0,0728704;-15,4131;-14,0398;-13,5454;-13,9117
0,0748669;-14,6349;-13,1609;-12,6299;-13,0327
0,0768633;-13,8109;-12,2087;-11,6228;-12,0623
0,0788598;-12,8954;-11,1742;-10,5516;-11,0094
0,0808562;-12,0623;-10,2312;-9,55367;-10,0481
0,0828527;-11,1192;-9,11421;-8,42756;-8,99519
0,0848491;-10,0389;-7,92401;-7,16411;-7,75921
0,0868456;-9,05013;-6,82536;-6,00137;-6,62394
0,088842;-7,89654;-5,49783;-4,63722;-5,30556
0,0908385;-6,77043;-4,23438;-3,32799;-4,00549
0,0928349;-5,55276;-2,87022;-0,136873;-2,60472
0,0948314;-4,29847;0,41062;1,43603;0,75761
0,0968278;-2,97093;2,04211;2,74434;2,4184
0,0988243;0,136873;3,33944;4,20279;3,72488
0,100821;1,71801;4,84092;5,84161;5,24926
0,102817;2,92744;6,39826;7,4786;6,81209
0,104814;4,38407;8,09567;9,25017;8,54429
0,10681;5,96429;9,91211;11,116;10,3955
0,108807;7,63149;11,8146;13,0634;12,3145
0,110803;9,34447;13,7409;15,0364;14,2802
0,112799;11,2049;15,8201;17,1403;16,3978
0,114796;13,0176;17,8444;19,1994;18,4559
0,116792;15,0831;20,125;21,5038;20,7659
0,118789;17,0341;22,2792;23,6709;22,9613
0,120785;19,116;24,5745;26,0018;25,3033
0,122782;21,3564;27,03;28,4875;27,8091
0,124778;23,5885;29,4351;30,1991;29,4942
0,126775;25,8755;31,2154;32,6528;31,9478
0,128771;28,2211;33,669;35,1797;34,5022
0,130767;29,9153;36,2509;37,7981;37,1572
0,132764;32,488;39,1257;40,6729;40,1144
0,13476;34,8501;41,735;43,3097;42,7787
0,136757;37,496;44,6281;46,1845;45,7633
0,138753;40,1053;47,4571;49,0227;48,6473
0,14075;42,8519;50,4509;51,9799;51,6869
0,142746;45,745;53,6095;55,1202;54,9096
0,144743;48,5649;56,6583;58,1415;58,0316
0,146739;51,5221;59,8077;61,2909;61,2909
0,148736;54,5159;63,0488;64,4862;64,596
0,150732;57,5006;66,2348;67,6448;67,8462
0,152728;60,6683;69,659;71,0048;71,3436
0,154725;63,827;73,0373;74,3282;74,7951
